School,Conf,,,,,,,,,,,,
Air Force,MWC,,,,,,,,,,,,
Akron,MAC,,,,,,,,,,,,
Alabama,SEC,,,,,,,,,,,,
Appalachian State,Sun Belt,,,,,,,,,,,,
Arizona,Big 12,,,,,,,,,,,,
Arizona State,Big 12,,,,,,,,,,,,
Arkansas,SEC,,,,,,,,,,,,
Arkansas State,Sun Belt,,,,,,,,,,,,
Army,American,,,,,,,,,,,,
Auburn,SEC,,,,,,,,,,,,
Ball State,MAC,,,,,,,,,,,,
Baylor,Big 12,,,,,,,,,,,,
Boise State,MWC,,,,,,,,,,,,
Boston College,ACC,,,,,,,,,,,,
Bowling Green,MAC,,,,,,,,,,,,
Buffalo,MAC,,,,,,,,,,,,
BYU,Big 12,,,,,,,,,,,,
California,ACC,,,,,,,,,,,,
Central Michigan,MAC,,,,,,,,,,,,
Charlotte,American,,,,,,,,,,,,
Cincinnati,Big 12,,,,,,,,,,,,
Clemson,ACC,,,,,,,,,,,,
Coastal Carolina,Sun Belt,,,,,,,,,,,,
Colorado,Big 12,,,,,,,,,,,,
Colorado State,MWC,,,,,,,,,,,,
Connecticut,Ind,,,,,,,,,,,,
Duke,ACC,,,,,,,,,,,,
East Carolina,American,,,,,,,,,,,,
Eastern Michigan,MAC,,,,,,,,,,,,
FAU,American,,,,,,,,,,,,
FIU,CUSA,,,,,,,,,,,,
Florida,SEC,,,,,,,,,,,,
Florida State,ACC,,,,,,,,,,,,
Fresno State,MWC,,,,,,,,,,,,
Georgia,SEC,,,,,,,,,,,,
Georgia Southern,Sun Belt,,,,,,,,,,,,
Georgia State,Sun Belt,,,,,,,,,,,,
Georgia Tech,ACC,,,,,,,,,,,,
Hawaii,MWC,,,,,,,,,,,,
Houston,Big 12,,,,,,,,,,,,
Illinois,Big Ten,,,,,,,,,,,,
Indiana,Big Ten,,,,,,,,,,,,
Iowa,Big Ten,,,,,,,,,,,,
Iowa State,Big 12,,,,,,,,,,,,
Jacksonville State,CUSA,,,,,,,,,,,,
James Madison,Sun Belt,,,,,,,,,,,,
Kansas,Big 12,,,,,,,,,,,,
Kansas State,Big 12,,,,,,,,,,,,
Kennesaw State,CUSA,,,,,,,,,,,,
Kent State,MAC,,,,,,,,,,,,
Kentucky,SEC,,,,,,,,,,,,
Liberty,CUSA,,,,,,,,,,,,
Louisiana,Sun Belt,,,,,,,,,,,,
Louisiana Tech,CUSA,,,,,,,,,,,,
Louisville,ACC,,,,,,,,,,,,
LSU,SEC,,,,,,,,,,,,
Marshall,Sun Belt,,,,,,,,,,,,
Maryland,Big Ten,,,,,,,,,,,,
Memphis,American,,,,,,,,,,,,
Miami (FL),ACC,,,,,,,,,,,,
Miami (OH),MAC,,,,,,,,,,,,
Michigan,Big Ten,,,,,,,,,,,,
Michigan State,Big Ten,,,,,,,,,,,,
Middle Tennessee,CUSA,,,,,,,,,,,,
Minnesota,Big Ten,,,,,,,,,,,,
Mississippi State,SEC,,,,,,,,,,,,
Missouri,SEC,,,,,,,,,,,,
Navy,American,,,,,,,,,,,,
Nebraska,Big Ten,,,,,,,,,,,,
Nevada,MWC,,,,,,,,,,,,
New Mexico,MWC,,,,,,,,,,,,
New Mexico State,CUSA,,,,,,,,,,,,
North Carolina,ACC,,,,,,,,,,,,
North Carolina State,ACC,,,,,,,,,,,,
North Texas,American,,,,,,,,,,,,
Northern Illinois,MAC,,,,,,,,,,,,
Northwestern,Big Ten,,,,,,,,,,,,
Notre Dame,Ind,,,,,,,,,,,,
Ohio,MAC,,,,,,,,,,,,
Ohio State,Big Ten,,,,,,,,,,,,
Oklahoma,SEC,,,,,,,,,,,,
Oklahoma State,Big 12,,,,,,,,,,,,
Old Dominion,Sun Belt,,,,,,,,,,,,
Ole Miss,SEC,,,,,,,,,,,,
Oregon,Big Ten,,,,,,,,,,,,
Oregon State,Ind,,,,,,,,,,,,
Penn State,Big Ten,,,,,,,,,,,,
Pitt,ACC,,,,,,,,,,,,
Purdue,Big Ten,,,,,,,,,,,,
Rice,American,,,,,,,,,,,,
Rutgers,Big Ten,,,,,,,,,,,,
Sam Houston,CUSA,,,,,,,,,,,,
San Diego State,MWC,,,,,,,,,,,,
San Jose State,MWC,,,,,,,,,,,,
SMU,ACC,,,,,,,,,,,,
South Alabama,Sun Belt,,,,,,,,,,,,
South Carolina,SEC,,,,,,,,,,,,
South Florida,American,,,,,,,,,,,,
Southern Miss,Sun Belt,,,,,,,,,,,,
Stanford,ACC,,,,,,,,,,,,
Syracuse,ACC,,,,,,,,,,,,
TCU,Big 12,,,,,,,,,,,,
Temple,American,,,,,,,,,,,,
Tennessee,SEC,,,,,,,,,,,,
Texas,SEC,,,,,,,,,,,,
Texas A&M,SEC,,,,,,,,,,,,
Texas State,Sun Belt,,,,,,,,,,,,
Texas Tech,Big 12,,,,,,,,,,,,
Toledo,MAC,,,,,,,,,,,,
Troy,Sun Belt,,,,,,,,,,,,
Tulane,American,,,,,,,,,,,,
Tulsa,American,,,,,,,,,,,,
