Team,ELO,Rank,Year,,
Georgia,1832.7,1,2022,,Air Force
Michigan,1759.3,2,2022,,Air Force
Alabama,1739.1,3,2022,,Air Force
TCU,1713.4,4,2022,,Akron
Ohio State,1712.7,5,2022,,Akron
Tennessee,1707.6,6,2022,,Akron
Penn State,1704.5,7,2022,,Alabama
Troy,1693,8,2022,,Alabama
Tulane,1685,9,2022,,Alabama
Clemson,1681.2,10,2022,,Appalachian State
Oregon,1676.6,11,2022,,Appalachian State
Notre Dame,1675.3,12,2022,,Appalachian State
Washington,1672.1,13,2022,,Arizona
USC,1665.9,14,2022,,Arizona
LSU,1660.1,15,2022,,Arizona
Kansas State,1659.2,16,2022,,Arizona State
Utah,1657.7,17,2022,,Arizona State
Florida State,1645.6,18,2022,,Arizona State
Oregon State,1642.4,19,2022,,Arkansas
Fresno State,1642.1,20,2022,,Arkansas
Pitt,1639.8,21,2022,,Arkansas
UTSA,1637.5,22,2022,,Arkansas State
Mississippi State,1634.4,23,2022,,Arkansas State
Air Force,1625.4,24,2022,,Arkansas State
Boise State,1612.6,25,2022,,Army
Texas,1610.3,26,2022,,Army
Iowa,1605.4,27,2022,,Army
Minnesota,1605.2,28,2022,,Auburn
Texas Tech,1600.6,29,2022,,Auburn
South Carolina,1597.7,30,2022,,Auburn
Cincinnati,1597.4,31,2022,,Ball State
Ohio,1592.6,32,2022,,Ball State
Louisville,1592.5,33,2022,,Ball State
BYU,1590,34,2022,,Baylor
South Alabama,1588.8,35,2022,,Baylor
Duke,1582.5,36,2022,,Baylor
Marshall,1582.4,37,2022,,Boise State
Arkansas,1580.1,38,2022,,Boise State
Wake Forest,1578.5,39,2022,,Boise State
James Madison,1577.8,40,2022,,Boston College
UCLA,1575,41,2022,,Boston College
North Carolina State,1573,42,2022,,Boston College
Houston,1571,43,2022,,Bowling Green
Maryland,1568.6,44,2022,,Bowling Green
Western Kentucky,1568.2,45,2022,,Bowling Green
East Carolina,1567,46,2022,,Buffalo
Eastern Michigan,1566.6,47,2022,,Buffalo
North Carolina,1563.8,48,2022,,Buffalo
Purdue,1562.9,49,2022,,BYU
Ole Miss,1562.1,50,2022,,BYU
Wisconsin,1561.7,51,2022,,BYU
UCF,1558.8,52,2022,,California
Kentucky,1557.3,53,2022,,California
Toledo,1556.2,54,2022,,California
Coastal Carolina,1552.1,55,2022,,Central Michigan
Illinois,1545.2,56,2022,,Central Michigan
Middle Tennessee,1537.9,57,2022,,Central Michigan
Texas A&M,1534.8,58,2022,,Charlotte
Baylor,1532.8,59,2022,,Charlotte
Michigan State,1524.4,60,2022,,Charlotte
Washington State,1523.5,61,2022,,Cincinnati
Oklahoma State,1522.5,62,2022,,Cincinnati
SMU,1522.5,63,2022,,Cincinnati
UAB,1520.1,64,2022,,Clemson
Oklahoma,1518.6,65,2022,,Clemson
Auburn,1516.4,66,2022,,Clemson
Southern Miss,1512.5,67,2022,,Coastal Carolina
Missouri,1511.4,68,2022,,Coastal Carolina
Florida,1510.6,69,2022,,Coastal Carolina
Army,1507.6,70,2022,,Colorado
San Diego State,1504,71,2022,,Colorado
Liberty,1501.4,72,2022,,Colorado
New Mexico State,1501.1,73,2022,,Colorado State
Memphis,1500.8,74,2022,,Colorado State
Buffalo,1498,75,2022,,Colorado State
Wyoming,1496.2,76,2022,,Connecticut
Syracuse,1496.1,77,2022,,Connecticut
Miami (FL),1495.7,78,2022,,Connecticut
West Virginia,1495.2,79,2022,,Duke
San Jose State,1493.5,80,2022,,Duke
Utah State,1488.1,81,2022,,Duke
North Texas,1487.1,82,2022,,East Carolina
Vanderbilt,1484.9,83,2022,,East Carolina
Georgia Tech,1484.2,84,2022,,East Carolina
Louisiana,1479.9,85,2022,,Eastern Michigan
Arizona,1477.3,86,2022,,Eastern Michigan
Appalachian State,1476.2,87,2022,,Eastern Michigan
Tulsa,1474.9,88,2022,,FAU
Connecticut,1472.2,89,2022,,FAU
Bowling Green,1466.8,90,2022,,FAU
Kent State,1465.9,91,2022,,FIU
Western Michigan,1465.5,92,2022,,FIU
Nebraska,1465.5,93,2022,,FIU
Kansas,1461.9,94,2022,,Florida
Miami (OH),1458.3,95,2022,,Florida
Georgia Southern,1454,96,2022,,Florida
UTEP,1449.7,97,2022,,Florida State
Navy,1443.9,98,2022,,Florida State
FAU,1441.8,99,2022,,Florida State
Iowa State,1441.3,100,2022,,Fresno State
Ball State,1438.7,101,2022,,Fresno State
Georgia State,1436.3,102,2022,,Fresno State
Indiana,1433.7,103,2022,,Georgia
California,1427.3,104,2022,,Georgia
ULM,1426.4,105,2022,,Georgia
Virginia,1420.3,106,2022,,Georgia Southern
UNLV,1419.3,107,2022,,Georgia Southern
Central Michigan,1418.2,108,2022,,Georgia Southern
Rutgers,1416.9,109,2022,,Georgia State
Rice,1410.9,110,2022,,Georgia State
Virginia Tech,1407.2,111,2022,,Georgia State
Boston College,1407,112,2022,,Georgia Tech
Texas State,1406.1,113,2022,,Georgia Tech
Arizona State,1396.7,114,2022,,Georgia Tech
Colorado State,1394.7,115,2022,,Hawaii
Stanford,1393,116,2022,,Hawaii
Charlotte,1382.7,117,2022,,Hawaii
FIU,1375.7,118,2022,,Houston
Old Dominion,1374.8,119,2022,,Houston
Temple,1367.7,120,2022,,Houston
Louisiana Tech,1366.9,121,2022,,Illinois
Arkansas State,1365.2,122,2022,,Illinois
Northern Illinois,1361.7,123,2022,,Illinois
Hawaii,1361.3,124,2022,,Indiana
Colorado,1351.9,125,2022,,Indiana
Northwestern,1329.7,126,2022,,Indiana
Nevada,1329.5,127,2022,,Iowa
Akron,1322.6,128,2022,,Iowa
New Mexico,1313.5,129,2022,,Iowa
South Florida,1300.2,130,2022,,Iowa State
UMass,1278.7,131,2022,,Iowa State
Michigan,1848.1,1,2023,,Iowa State
Washington,1795.4,2,2023,,Jacksonville State
Georgia,1788,3,2023,,Jacksonville State
Alabama,1764.2,4,2023,,James Madison
Florida State,1747.3,5,2023,,James Madison
Texas,1739.4,6,2023,,James Madison
Oregon,1734.9,7,2023,,Kansas
Ohio State,1714.1,8,2023,,Kansas
