Wk,Winner,Loser
1,Florida Atlantic,Charlotte
1,Florida State,Duquesne
1,Illinois,Wyoming
1,Nevada,New Mexico State
1,Nevada-Las Vegas,Idaho State
1,North Carolina,Florida A&M
1,North Texas,Texas-El Paso
1,Northwestern,Nebraska
1,Utah State,Connecticut
1,Vanderbilt,Hawaii
1,Western Kentucky,Austin Peay
2,Akron,St. Francis (PA)
2,Alabama-Birmingham,Alabama A&M
2,Arizona State,Northern Arizona
2,Central Florida,South Carolina State
2,Florida International,Bryant
2,Fresno State,Cal Poly
2,Minnesota,New Mexico State
2,Missouri,Louisiana Tech
2,Northern Illinois,Eastern Illinois
2,(12) Oklahoma State,Central Michigan
2,Penn State,Purdue
2,(17) Pittsburgh,West Virginia
2,San Jose State,Portland State
2,Tennessee,Ball State
2,Toledo,Long Island
2,(22) Wake Forest,Virginia Military Institute
2,Duke,Temple
2,Eastern Michigan,Eastern Kentucky
2,Indiana,Illinois
2,Kansas,Tennessee Tech
2,(15) Michigan State,Western Michigan
2,Old Dominion,Virginia Tech
2,Texas Christian,Colorado
2,William & Mary,Charlotte
2,Air Force,Northern Iowa
2,(1) Alabama,Utah State
2,Arizona,San Diego State
2,(19) Arkansas,(23) Cincinnati
2,Arkansas State,Grambling State
2,Auburn,Mercer
2,(10) Baylor,Albany
2,(25) Brigham Young,South Florida
2,California,California-Davis
2,Coastal Carolina,Army
2,Connecticut,Central Connecticut State
2,Delaware,Navy
2,Florida,(7) Utah
2,(3) Georgia,(11) Oregon
2,Georgia Southern,Morgan State
2,(24) Houston,Texas-San Antonio
2,Iowa,South Dakota State
2,Iowa State,Southeast Missouri State
2,James Madison,Middle Tennessee State
2,Kansas State,South Dakota
2,(20) Kentucky,Miami (OH)
2,Liberty,Southern Mississippi
2,Louisiana,Southeastern Louisiana
2,Marshall,Norfolk State
2,Maryland,Buffalo
2,(16) Miami (FL),Bethune-Cookman
2,(8) Michigan,Colorado State
2,(21) Mississippi,Troy
2,Mississippi State,Memphis
2,Nebraska,North Dakota
2,Nevada,Texas State
2,New Mexico,Maine
2,North Carolina,Appalachian State
2,(13) North Carolina State,East Carolina
2,Ohio,Florida Atlantic
2,(2) Ohio State,(5) Notre Dame
2,(9) Oklahoma,Texas-El Paso
2,Oregon State,Boise State
2,Rutgers,Boston College
2,South Alabama,Nicholls State
2,South Carolina,Georgia State
2,(14) Southern California,Rice
2,Southern Methodist,North Texas
2,Stanford,Colgate
2,Syracuse,Louisville
2,Texas,Louisiana-Monroe
2,(6) Texas A&M,Sam Houston
2,Texas Tech,Murray State
2,Tulane,Massachusetts
2,UCLA,Bowling Green
2,Vanderbilt,Elon
2,Virginia,Richmond
2,Washington,Kent State
2,Washington State,Idaho
2,(18) Wisconsin,Illinois State
2,Wyoming,Tulsa
2,Florida State,Louisiana State
2,Western Kentucky,Hawaii
2,(4) Clemson,Georgia Tech
3,Boise State,New Mexico
3,Louisville,Central Florida
3,Air Force,Colorado
3,(1) Alabama,Texas
3,Appalachian State,(6) Texas A&M
3,(16) Arkansas,South Carolina
3,Auburn,San Jose State
3,(21) Brigham Young,(9) Baylor
3,California,Nevada-Las Vegas
3,Cincinnati,Kennesaw State
3,(5) Clemson,Furman
3,Coastal Carolina,Gardner-Webb
3,Duke,Northwestern
3,East Carolina,Old Dominion
3,Eastern Kentucky,Bowling Green
3,Florida Atlantic,Southeastern Louisiana
3,(2) Georgia,Samford
3,Georgia Southern,Nebraska
3,Georgia Tech,Western Carolina
3,Holy Cross,Buffalo
3,Illinois,Virginia
3,Incarnate Word,Nevada
3,Indiana,Idaho
3,Iowa State,Iowa
3,James Madison,Norfolk State
3,Kansas,West Virginia
3,Kansas State,Missouri
3,(20) Kentucky,(12) Florida
3,Liberty,Alabama-Birmingham
3,Louisiana,Eastern Michigan
3,Louisiana State,Southern
3,Louisiana Tech,Stephen F. Austin
3,Louisiana-Monroe,Nicholls State
3,Marshall,(8) Notre Dame
3,Maryland,Charlotte
3,Memphis,Navy
3,(15) Miami (FL),Southern Mississippi
3,Miami (OH),Robert Morris
3,(4) Michigan,Hawaii
3,(14) Michigan State,Akron
3,Middle Tennessee State,Colorado State
3,Minnesota,Western Illinois
3,(22) Mississippi,Central Arkansas
3,Mississippi State,Arizona
3,North Carolina,Georgia State
3,(18) North Carolina State,Charleston Southern
3,North Texas,Texas Southern
3,(3) Ohio State,Arkansas State
3,(7) Oklahoma,Kent State
3,(11) Oklahoma State,Arizona State
3,Oregon,Eastern Washington
3,Oregon State,Fresno State
3,Penn State,Ohio
3,Purdue,Indiana State
3,Rice,McNeese State
3,Rutgers,Wagner
3,San Diego State,Idaho State
3,South Alabama,Central Michigan
3,South Florida,Howard
3,(10) Southern California,Stanford
3,Southern Methodist,Lamar
3,Syracuse,Connecticut
3,Temple,Lafayette
3,(24) Tennessee,(17) Pittsburgh
3,Texas Christian,Tarleton State
3,Texas State,Florida International
3,Texas Tech,(25) Houston
3,Texas-El Paso,New Mexico State
3,Texas-San Antonio,Army
3,Toledo,Massachusetts
3,Troy,Alabama A&M
3,Tulane,Alcorn State
3,Tulsa,Northern Illinois
3,UCLA,Alabama State
3,(13) Utah,Southern Utah
3,Virginia Tech,Boston College
3,(23) Wake Forest,Vanderbilt
3,Washington,Portland State
3,Washington State,(19) Wisconsin
3,Weber State,Utah State
3,Western Michigan,Ball State
3,Wyoming,Northern Colorado
4,Florida State,Louisville
4,Wyoming,Air Force
4,(2) Alabama,Louisiana-Monroe
4,Alabama-Birmingham,Georgia Southern
4,Appalachian State,Troy
4,Arizona,North Dakota State
4,(10) Arkansas,Missouri State
4,Army,Villanova
4,Ball State,Murray State
4,(17) Baylor,Texas State
4,Boise State,Tennessee-Martin
4,Boston College,Maine
4,Bowling Green,Marshall
4,Central Florida,Florida Atlantic
4,Central Michigan,Bucknell
4,Charlotte,Georgia State
4,Cincinnati,Miami (OH)
4,(5) Clemson,Louisiana Tech
4,Coastal Carolina,Buffalo
4,Duke,North Carolina A&T
4,East Carolina,Campbell
4,Eastern Michigan,Arizona State
4,(18) Florida,South Florida
4,(1) Georgia,South Carolina
4,Indiana,Western Kentucky
4,Iowa,Nevada
4,Iowa State,Ohio
4,Kansas,Houston
4,Kent State,Long Island
4,(9) Kentucky,Youngstown State
4,Louisiana State,Mississippi State
4,Maryland,Southern Methodist
4,Massachusetts,Stony Brook
4,Memphis,Arkansas State
4,(4) Michigan,Connecticut
4,Middle Tennessee State,Tennessee State
4,Minnesota,Colorado
4,(20) Mississippi,Georgia Tech
4,Missouri,Abilene Christian
4,Nevada-Las Vegas,North Texas
4,New Mexico,Texas-El Paso
4,(16) North Carolina State,Texas Tech
4,Notre Dame,California
4,(3) Ohio State,Toledo
4,(6) Oklahoma,Nebraska
4,(8) Oklahoma State,Arkansas-Pine Bluff
4,(25) Oregon,(12) Brigham Young
4,Oregon State,Montana State
4,(22) Penn State,Auburn
4,(23) Pittsburgh,Western Michigan
4,Rice,Louisiana
4,Rutgers,Temple
4,(7) Southern California,Fresno State
4,Southern Illinois,Northwestern
4,Southern Mississippi,Northwestern State
4,Syracuse,Purdue
4,(15) Tennessee,Akron
4,(21) Texas,Texas-San Antonio
4,(24) Texas A&M,(13) Miami (FL)
4,Tulane,Kansas State
4,Tulsa,Jacksonville State
4,UCLA,South Alabama
4,(14) Utah,San Diego State
4,Vanderbilt,Northern Illinois
4,Virginia,Old Dominion
4,Virginia Tech,Wofford
4,(19) Wake Forest,Liberty
4,Washington,(11) Michigan State
4,Washington State,Colorado State
4,West Virginia,Towson
4,Wisconsin,New Mexico State
4,Hawaii,Duquesne
5,Coastal Carolina,Georgia State
5,Illinois,Chattanooga
5,West Virginia,Virginia Tech
5,Air Force,Nevada
5,Syracuse,Virginia
5,Texas-El Paso,Boise State
5,(2) Alabama,Vanderbilt
5,Auburn,Missouri
5,(17) Baylor,Iowa State
5,(19) Brigham Young,Wyoming
5,Buffalo,Eastern Michigan
5,California,Arizona
5,Central Florida,Georgia Tech
5,Cincinnati,Indiana
5,(5) Clemson,(21) Wake Forest
5,Florida State,Boston College
5,(1) Georgia,Kent State
5,Georgia Southern,Ball State
5,Houston,Rice
5,Iowa,Rutgers
5,James Madison,Appalachian State
5,Kansas,Duke
5,Kansas State,(6) Oklahoma
5,(8) Kentucky,Northern Illinois
5,Liberty,Akron
5,Louisiana State,New Mexico
5,Louisiana-Monroe,Louisiana
5,Louisville,South Florida
5,Memphis,North Texas
5,Miami (OH),Northwestern
5,(4) Michigan,Maryland
5,Middle Tennessee State,(25) Miami (FL)
5,Minnesota,Michigan State
5,(16) Mississippi,Tulsa
5,Mississippi State,Bowling Green
5,Navy,East Carolina
5,Nevada-Las Vegas,Utah State
5,New Mexico State,Hawaii
5,(12) North Carolina State,Connecticut
5,Notre Dame,North Carolina
5,Ohio,Fordham
