School,Pct,SOS,AP Pre,AP High,AP Rank,Year,,Sorted Sheet1,Sorted Sheet2,,
Georgia,1,6.28,3,1,1,2022,,Air Force,Air Force,Match,
Michigan,0.929,2.73,8,2,3,2022,,Air Force,Air Force,Match,
TCU,0.867,7.45,,2,2,2022,,Air Force,Air Force,Match,
Tulane,0.857,0.39,,9,9,2022,,Akron,Akron,Match,
Troy,0.857,-2.51,,19,19,2022,,Akron,Akron,Match,
Ohio State,0.846,5.2,2,2,4,2022,,Akron,Akron,Match,
Tennessee,0.846,4.98,,2,6,2022,,Alabama,Alabama,Match,
Alabama,0.846,4.58,1,1,5,2022,,Alabama,Alabama,Match,
Penn State,0.846,4.02,,7,7,2022,,Alabama,Alabama,Match,
Washington,0.846,0.64,,8,8,2022,,Appalachian State,Appalachian State,Match,
USC,0.786,3.49,14,4,12,2022,,Appalachian State,Appalachian State,Match,
Clemson,0.786,3.3,4,4,13,2022,,Appalachian State,Appalachian State,Match,
UTSA,0.786,-3.78,,22,,2022,,Arizona,Arizona,Match,
Oregon,0.769,3.67,11,6,15,2022,,Arizona,Arizona,Match,
Florida State,0.769,3.38,,11,11,2022,,Arizona,Arizona,Match,
Oregon State,0.769,2.33,,16,17,2022,,Arizona State,Arizona State,Match,
South Alabama,0.769,-5.46,,,,2022,,Arizona State,Arizona State,Match,
Air Force,0.769,-7.41,,,,2022,,Arizona State,Arizona State,Match,
James Madison,0.727,-4.73,,25,,2022,,Arkansas,Arkansas,Match,
Kansas State,0.714,7.95,,11,14,2022,,Arkansas,Arkansas,Match,
LSU,0.714,6.14,,6,16,2022,,Arkansas,Arkansas,Match,
Utah,0.714,3.09,7,7,10,2022,,Arkansas State,Arkansas State,Match,
Fresno State,0.714,-3.94,,24,24,2022,,Arkansas State,Arkansas State,Match,
Boise State,0.714,-4.82,,,,2022,,Arkansas State,Arkansas State,Match,
Ohio,0.714,-5.91,,,,2022,,Army,Army,Match,
Mississippi State,0.692,5.3,,16,20,2022,,Army,Army,Match,
Notre Dame,0.692,3.8,5,5,18,2022,,Army,Army,Match,
